"filename", "language", "HTML", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\about.html", "HTML", 33, 0, 0, 0, 13, 0, 46
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 5, 0, 7
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\css\style.css", "CSS", 0, 295, 0, 0, 8, 42, 345
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index-interv.html", "HTML", 64, 0, 0, 0, 61, 20, 145
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index.html", "HTML", 265, 0, 0, 0, 20, 26, 311
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\index.js", "JavaScript", 0, 0, 0, 9, 35, 11, 55
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\interval.html", "HTML", 95, 0, 0, 0, 13, 0, 108
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\interval.webmanifest", "JSON", 0, 0, 32, 0, 0, 0, 32
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 6, 0, 7
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\chart.js", "JavaScript", 0, 0, 0, 2, 12, 0, 14
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\commands.js", "JavaScript", 0, 0, 0, 295, 2, 5, 302
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\helpers.js", "JavaScript", 0, 0, 0, 2, 7, 0, 9
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\index.js", "JavaScript", 0, 0, 0, 407, 108, 72, 587
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\interval.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\joystick.js", "JavaScript", 0, 0, 0, 128, 44, 10, 182
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\jquery.min.js", "JavaScript", 0, 0, 0, 1, 1, 0, 2
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\main.js", "JavaScript", 0, 0, 0, 891, 173, 115, 1179
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\not_edit.js", "JavaScript", 0, 0, 0, 0, 7, 28, 35
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\js\websocket.js", "JavaScript", 0, 0, 0, 61, 13, 3, 77
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\serviceworker-i.js", "JavaScript", 0, 0, 0, 57, 24, 6, 87
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\serviceworker.js", "JavaScript", 0, 0, 0, 57, 24, 6, 87
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\settings.html", "HTML", 22, 0, 0, 0, 13, 0, 35
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\slider.webmanifest", "JSON", 0, 0, 32, 0, 0, 0, 32
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\footer-template.html", "HTML", 2, 0, 0, 0, 0, 1, 3
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-interv-template.html", "HTML", 12, 0, 0, 0, 22, 5, 39
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-loc-inter-tmp.html", "HTML", 20, 0, 0, 0, 20, 6, 46
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-loc-tmp.html", "HTML", 20, 0, 0, 0, 20, 7, 47
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\index-template.html", "HTML", 12, 0, 0, 0, 22, 6, 40
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\interval-template.html", "HTML", 42, 0, 0, 0, 41, 15, 98
"d:\Timelapse_Slider\ESP32_Camera_Slider\Slider-Firmware\web-application\src\templates\slider-template.html", "HTML", 243, 0, 0, 0, 0, 20, 263
"Total", "-", 830, 297, 64, 1911, 714, 405, 4221